,0
2097,51181
2098,21009
2099,51139
2100,26135
2101,18077
2102,29081
2103,29186
2104,36099
2105,37007
2106,21103
2107,41045
2108,5127
2109,51820
2110,13319
2111,55011
2112,37193
2113,21127
2114,12013
2115,37157
2116,51620
2117,13315
2118,45009
2119,13131
2120,55083
2121,37117
2122,8109
2123,51097
2124,48499
2125,5015
2126,13173
2127,47097
2128,24019
2129,13237
2130,16047
2131,40055
2132,47081
2133,13291
2134,1025
2135,54001
2136,55023
2137,48297
2138,45005
2139,55078
2140,31039
2141,48265
2142,28061
2143,12049
2144,12045
2145,23009
2146,48179
2147,48177
2148,29023
2149,29025
2150,30009
2151,29063
2152,29073
2153,18075
2154,47027
2155,12079
2156,39117
2157,35035
2158,48063
2159,27047
2160,48077
2161,47057
2162,17127
2163,48405
2164,19131
2165,19121
2166,12093
2167,17183
2168,48093
2169,1045
2170,48351
2171,35003
2172,35017
2173,27173
2174,38013
2175,48089
2176,27035
2177,51183
2178,20151
2179,5077
2180,16057
2181,26097
2182,48001
2183,1035
2184,47153
2185,51015
2186,51775
2187,20035
2188,37169
2189,48365
2190,48363
2191,21057
2192,31067
2193,31131
2194,5093
2195,5095
2196,40005
2197,31081
2198,55001
2199,51049
2200,47139
2201,40073
2202,20029
2203,16087
2204,5103
2205,40075
2206,47087
2207,19017
2208,8027
2209,17147
2210,21137
2211,19101
2212,13271
2213,39171
2214,21163
2215,21191
2216,53051
2217,26043
2218,39065
2219,39059
2220,24001
2221,54071
2222,17107
2223,17117
2224,22021
2225,21055
2226,17131
2227,17139
2228,19141
2229,27071
2230,45021
2231,48287
2232,42053
2233,28153
2234,2290
2235,37055
2236,48129
2237,29091
2238,56041
2239,1031
2240,18009
2241,6015
2242,45049
2243,46115
2244,40153
2245,21011
2246,48171
2247,5135
2248,18147
2249,48241
2250,45065
2251,48249
2252,37073
2253,49025
2254,37121
2255,37113
2256,29143
2257,55121
2258,46079
2259,48175
2260,36123
2261,31037
2262,29045
2263,48449
2264,29115
2265,51159
2266,51155
2267,54057
2268,30035
2269,23029
2270,18121
2271,13281
2272,17083
2273,51033
2274,8071
2275,29195
2276,8103
2277,19149
2278,51193
2279,48281
2280,41013
2281,55107
2282,2240
2283,37087
2284,51678
2285,55005
2286,5117
2287,38027
2288,56023
2289,37041
2290,31121
2291,51595
2292,37017
2293,42035
2294,38087
2295,23003
2296,51530
2297,33007
2298,19115
2299,19119
2300,5073
2301,51195
2302,1067
2303,12037
2304,20115
2305,17049
2306,13197
2307,26095
2308,1005
2309,49027
2310,49007
2311,13105
2312,49015
2313,40053
2314,17039
2315,49013
2316,6103
2317,13239
2318,49023
2319,40093
2320,40089
2321,49019
2322,53003
2323,20141
2324,39001
2325,48003
2326,47161
2327,35027
2328,8091
2329,21033
2330,48319
2331,35028
2332,20089
2333,42113
2334,27119
2335,5039
2336,29147
2337,19075
2338,19089
2339,21053
2340,27085
2341,19111
2342,51037
2343,17149
2344,19129
2345,48457
2346,48455
2347,17103
2348,17125
2349,51790
2350,17079
2351,37009
2352,48233
2353,21183
2354,48211
2355,13305
2356,18161
2357,37185
2358,40141
2359,20073
2360,18101
2361,21193
2362,12029
2363,30001
2364,53069
2365,31031
2366,55115
2367,42131
2368,16029
2369,55071
2370,56011
2371,12065
2372,27055
2373,28131
2374,17007
2375,21149
